id_rna,titre,titre_court,objet,nature,date_creation,date_declaration,date_publication,date_dissolution,groupement,position,num_voie,type_voie,libelle_voie,lieu_dit,lat,lon,dt_maj
W9G2001035,LES AMIS DE MAC,LES AMIS DE MAC,"d'aider les enfants en difficulté, pour cela nous leur proposons un accompagnement à  domicile de soutien scolaire avec des perspectives de développer des capacités intellectuelles, physiques et affectives dans une structure riche en activités suivi d'une mise en place d'aides à  domicile auprs des personnes âgées avec la collaboration de la sécurité sociale et la caf par le biais d'activités de proximité : espace vert, entretien ménager, aide à  l'élaboration des dossiers administratifs sur la Guadeloupe et sur l'île de Marie-Galante",D,2006-12-21 00:00:00,2010-06-16 00:00:00,2007-03-31 00:00:00,2010-06-12 00:00:00,Simple,Dissoute,,impasse,Parole bis,Grande Ravine,16.229731,-61.472339,2011-01-04T12:01:35-04:00
W9G2001537,GUADELOUPE ACTION PROMOTION,GUADELOUPE ACTION PROMOTION,"promouvoir l'action sociale, culturelle et économique en Guadeloupe, dans ce cadre là elle organisera toutes sortes d'actions",D,2011-04-20 00:00:00,2013-01-10 00:00:00,2011-06-11 00:00:00,2012-12-29 00:00:00,Simple,Dissoute,,route,de Michaux 1,Beaumanoir,16.229731,-61.472339,2013-03-10T03:48:28-04:00
W9G2002022,CLUB TEAM FAN'O SPORT,CLUB TEAM FAN'O SPORT,"la promotion et l'encadrement des pilotes pratiquant les sports mécaniques, l'insertion et la réinsertion des jeunes par des activités sportives, initiatiques, intergénérationnelles, socioculturelles, touristique, l'animation sous toutes formes, la création et la diffusion à titre gratuit ou onéreux de tous les supports médiatiques, aux fins de réalisation dudit objet, l'association utilisera les moyens d'actions suivants : actions de préformation et de préparation à la vie professionnelle, actions d'adaptation, actions de promotion, actions de préventions, actions de conversion, actions d'acquisition, d'entretien ou de perfectionnement des connaissances",D,2008-04-21 00:00:00,2015-04-30 00:00:00,2008-06-21 00:00:00,,Simple,Active,28,lotissement,Pré Marin,DAMPIERRE,16.20331,-61.471616,2015-06-17T13:52:30-04:00
W9G2002305,'UNE AUTRE FAMILLE','UNE AUTRE FAMILLE',contribuer a l'épanouissement des enfants de 2 a 6 ans,D,1998-03-11 00:00:00,2012-09-14 00:00:00,1998-04-11 00:00:00,2012-08-30 00:00:00,Simple,Dissoute,,,,L'HOUEZEL PERINETTE,16.229731,-61.472339,2017-11-24T12:13:42-04:00
W9G2002387,GRAND GOUSIER BASKET,GRAND GOUSIER BASKET,"la réalisation de toutes actions visant à l'initiation, la pratique et le perfectionnement de l'éducation physique et sportive par le basket-ball, ces actions se déclinent en compétitions, activités ludiques, éducatives et pédagogiques, sessions de formation ou sous toute autre forme, dont le but est de promouvoir le basket ball, l'association garantit en son sein la liberté d'opinion, s'interdit toute forme de discrimination et tout débat ou manifestation à caractre politique ou confessionnel",D,1992-02-10 00:00:00,2017-04-07 00:00:00,1901-07-01 00:00:00,,Simple,Active,,,Salle Nomade,Plateau Saint Germain,16.229731,-61.472339,2017-06-23T12:56:17-04:00
W9G2004016,COLLECTIF CARIBEEN ECOTOURISME,COLLECTIF CARIBEEN ECOTOURISME,"l'insertion professionnelle, la création d'un réseau de partenaires, la promotion de la formation (accompagnateurs de tourisme local), le soutien logistique auprs des professionnels, l'organisation culturelle, patrimoniale et touristique, l'accueil de la clientle, l'échange culturel de la caraïbe, le tourisme solidaire et le tourisme équitable, la création d'un livre sur le tourisme (écotourisme), la conception d'une liste de toutes les entreprises de tourisme en Guadeloupe",D,2016-02-29 00:00:00,2016-02-29 00:00:00,2016-03-19 00:00:00,,Simple,Active,,,Route de Goyave,Besson,16.229731,-61.472339,2016-03-24T10:24:22-04:00
W9G2005244,KREOLADES,KREOLADES,"promouvoir le tourisme, l'animation et les loisirs en milieu htelier, organiser des formations professionnelles dans le milieu touristique et les loisirs, accueil du client, animation culturelle et sportive diurne et nocturne, initiation et perfectionnement linguistiques en Français, créole, anglais, former les jeunes et tout public volontaire au brevet professionnel de la jeunesse, de l'éducation populaire et du sport (BPJEPS), organiser des manifestations évnementielles",D,2018-10-23 00:00:00,2018-10-23 00:00:00,2018-12-08 00:00:00,,Simple,Active,,rue,Pater - La Cotonneraie,Port-Blanc,16.229731,-61.472339,2018-12-08T08:45:06-04:00
W9G2009576,L'ARBRE DU VOYAGEUR,L'ARBRE DU VOYAGEUR,organiser des manifestations culturelles et touristiques,D,1993-06-14 00:00:00,1993-06-14 00:00:00,1993-07-07 00:00:00,,Simple,Active,,,"Mare-gaillard, bernard",,16.229731,-61.472339,2019-09-25T13:19:58-04:00
W9G2014874,ASSOCIATION UNPAS - INITIATIVES EN FAVEUR DU DEVELOPPEMENT DURABLE ECONOMIQUE ET SOLIDAIRE - S'IMPLIQUER S'ENGAGER S'EPANOUIR FEDERER -,ASSOCIATION UNPAS - INITIATIVES EN ...,"permettre à l'homme de se réapproprier son espace dans une démarche de développement durable, elle permet à chaque individu de s'épanouir et de s'impliquer dans sa région, l'association tient à mettre en avant le don de soi, l'entraide, l'esprit d'entreprendre et d'initiative, l'engagement et la solidarité au sein de la sociéte, toutes ces valeurs vont permettre de fédérer des forces vives autour de projets à dimension humaine",D,2008-06-06 00:00:00,2008-06-06 00:00:00,2008-07-19 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-02T16:23:20-04:00
W9G2014878,ARAWAK LOISIRS,ARAWAK LOISIRS,développer l'esprit culturel et touristique,D,1990-02-06 00:00:00,1990-02-06 00:00:00,1990-02-28 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-02T16:59:52-04:00
